,count,mean,std,min,25%,50%,75%,max
value_norm__symmetry_looking__r_0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value_norm__symmetry_looking__r_0.05,156.0,0.01282051282051282,0.11286186173625715,0.0,0.0,0.0,0.0,1.0
value_norm__symmetry_looking__r_0.1,156.0,0.08333333333333333,0.2772755316109008,0.0,0.0,0.0,0.0,1.0
value_norm__symmetry_looking__r_0.15000000000000002,156.0,0.28205128205128205,0.4514474469450286,0.0,0.0,0.0,1.0,1.0
value_norm__symmetry_looking__r_0.2,156.0,0.717948717948718,0.45144744694502864,0.0,0.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.25,156.0,0.9871794871794872,0.11286186173625715,0.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.30000000000000004,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.35000000000000003,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.4,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.45,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.5,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.55,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.6000000000000001,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.65,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.7000000000000001,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.75,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.8,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.8500000000000001,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.9,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
value_norm__symmetry_looking__r_0.9500000000000001,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
