Feature,Mean P Value,P Values,Num_Relevant(10)
value_norm__count_above__t_0,0.00024394935793893734,"[8.494662861261892e-06, 0.0011126590547600363, 2.196138825397206e-06, 3.780262752745098e-06, 9.261667049524615e-05]",5
value_norm__count_above_mean,0.00024394935793893734,"[8.494662861261892e-06, 0.0011126590547600363, 2.196138825397206e-06, 3.780262752745098e-06, 9.261667049524615e-05]",5
value_norm__count_below__t_0,0.00024394935793893734,"[8.494662861261892e-06, 0.0011126590547600363, 2.196138825397206e-06, 3.780262752745098e-06, 9.261667049524615e-05]",5
value_norm__count_below_mean,0.00024394935793893734,"[8.494662861261892e-06, 0.0011126590547600363, 2.196138825397206e-06, 3.780262752745098e-06, 9.261667049524615e-05]",5
"value_norm__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.0006812959105455353,[0.0006812959105455353],1
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_5,8.69595369119388e-05,[8.69595369119388e-05],1
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_6,2.9261560874681626e-05,[2.9261560874681626e-05],1
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_7,8.545388065880034e-05,"[0.00010306094423360465, 6.784681708399604e-05]",2
"value_norm__fft_aggregated__aggtype_""centroid""",0.0005387961516954588,[0.0005387961516954588],1
"value_norm__fft_aggregated__aggtype_""kurtosis""",0.00024190454225982255,[0.00024190454225982255],1
"value_norm__fft_aggregated__aggtype_""skew""",0.00024190454225982255,[0.00024190454225982255],1
"value_norm__fft_aggregated__aggtype_""variance""",0.00022648495969707904,[0.00022648495969707904],1
"value_norm__fft_coefficient__attr_""abs""__coeff_1",0.0001451295208996822,"[0.0001347989435256983, 0.0001554600982736661]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_14",0.0011857104925989805,[0.0011857104925989805],1
"value_norm__fft_coefficient__attr_""abs""__coeff_15",0.00044627876405201934,[0.00044627876405201934],1
"value_norm__fft_coefficient__attr_""abs""__coeff_16",0.0005734112704115104,[0.0005734112704115104],1
"value_norm__fft_coefficient__attr_""abs""__coeff_17",0.0006827455853543745,"[0.001186014301576118, 0.00017947686913263088]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_18",0.00025830488621985065,[0.00025830488621985065],1
"value_norm__fft_coefficient__attr_""abs""__coeff_19",0.0005224896780720216,"[0.0009125394510789737, 0.00013243990506506942]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_2",4.910681189967557e-05,"[5.746498350673254e-05, 4.0748640292618605e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_20",0.0007449977261836578,"[0.001186014301576118, 0.00030398115079119744]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_21",0.0009289272567121452,"[0.0015335676165852406, 0.00032428689683904977]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_22",0.0007724825266680767,"[0.0012206781564971037, 0.00032428689683904977]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_23",0.0005387961516954588,[0.0005387961516954588],1
"value_norm__fft_coefficient__attr_""abs""__coeff_24",0.0004605903416127969,[0.0004605903416127969],1
"value_norm__fft_coefficient__attr_""abs""__coeff_25",0.0007163348675403063,"[0.0012206781564971037, 0.000211991578583509]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_26",0.0006607403117088607,"[0.001087404991202061, 0.00023407563221566045]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_27",0.0004631781844598269,"[0.0008108515289718942, 0.00011550483994775952]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_28",0.0005735893857992644,"[0.000967701902465898, 0.00017947686913263088]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_29",0.0008513817840099117,"[0.0014907719894363145, 0.000211991578583509]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_30",0.000881529752535968,"[0.0014490791236612475, 0.0003139803814106887]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_31",0.0009562007982470509,"[0.0015774922057927528, 0.000334909390701349]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_32",0.0007163348675403063,"[0.0012206781564971037, 0.000211991578583509]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_33",0.0007128770404979962,"[0.0012206781564971037, 0.00020507592449888889]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_34",0.0005247823727877895,"[0.0009125394510789737, 0.00013702529449660525]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_35",0.0009404386903146154,"[0.00162257249440938, 0.00025830488621985065]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_36",0.00035713819939071895,[0.00035713819939071895],1
"value_norm__fft_coefficient__attr_""abs""__coeff_37",0.0008030532045035256,"[0.001330362958296158, 0.0002757434507108933]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_38",0.00041889221545142577,[0.00041889221545142577],1
"value_norm__fft_coefficient__attr_""abs""__coeff_39",0.00040903164412310963,"[0.0006985273392026906, 0.00011953594904352867]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_40",0.0008364403281350498,"[0.001368899505478902, 0.00030398115079119744]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_41",0.0009273710553612427,"[0.001408463346670466, 0.00044627876405201934]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_42",0.0006364919494960204,"[0.001087404991202061, 0.0001855789077899799]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_43",0.0006130033943428743,"[0.000967701902465898, 0.00025830488621985065]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_44",0.0005293379466591258,"[0.0008603032841221961, 0.00019837260919605546]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_45",0.0004358473330125641,"[0.000787127144117415, 8.456752190771311e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_46",0.0002987996076544582,"[0.0005159383950093313, 8.16608202995851e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_47",0.00011953594904352867,[0.00011953594904352867],1
"value_norm__fft_coefficient__attr_""abs""__coeff_48",0.0006638871211822159,"[0.001186014301576118, 0.00014175994078831377]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_49",0.0007869877149888954,"[0.001368899505478902, 0.00020507592449888889]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_50",0.0007955925377911188,"[0.0012562756848808886, 0.000334909390701349]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_51",0.0008054020238693623,"[0.001368899505478902, 0.00024190454225982255]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_52",0.0007611192648597767,"[0.001330362958296158, 0.0001918755714233953]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_53",0.0010141838683116273,"[0.00162257249440938, 0.00040579524221387474]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_54",0.0009970789790990186,"[0.0015335676165852406, 0.0004605903416127969]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_55",0.0005667259185325446,"[0.000996426542568484, 0.00013702529449660525]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_56",0.0002757434507108933,[0.0002757434507108933],1
"value_norm__fft_coefficient__attr_""abs""__coeff_57",0.0008084567717896412,"[0.0014490791236612475, 0.00016783441991803497]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_58",0.0006638871211822159,"[0.001186014301576118, 0.00014175994078831377]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_59",0.0005523635984812516,"[0.000967701902465898, 0.00013702529449660525]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_6",2.816865779106762e-05,[2.816865779106762e-05],1
"value_norm__fft_coefficient__attr_""abs""__coeff_60",0.0004987606158749613,"[0.0008352379813098293, 0.0001622832504400932]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_61",0.0005224896780720216,"[0.0009125394510789737, 0.00013243990506506942]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_62",0.0007842865084545193,"[0.0012928295661981453, 0.0002757434507108933]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_63",0.000842955571166835,"[0.0012928295661981453, 0.0003930815761355247]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_64",0.0006396402813127281,"[0.001087404991202061, 0.0001918755714233953]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_65",0.0006856938526464317,"[0.0011522619110276315, 0.0002191257942652319]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_66",0.0006276197055600479,"[0.001087404991202061, 0.00016783441991803497]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_67",0.0006836632569563838,"[0.0012206781564971037, 0.0001466483574156641]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_68",0.0007413803222889838,"[0.0012562756848808886, 0.00022648495969707904]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_69",0.0005304150631674265,"[0.0008108515289718942, 0.0002499785973629588]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_70",0.0007120550523994618,"[0.0012562756848808886, 0.00016783441991803497]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_71",0.0005766658619378473,"[0.000996426542568484, 0.0001569051813072107]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_72",0.0005879517058505574,"[0.000996426542568484, 0.00017947686913263088]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_73",0.000334909390701349,[0.000334909390701349],1
"value_norm__fft_coefficient__attr_""abs""__coeff_74",0.0008067696355846775,"[0.001408463346670466, 0.00020507592449888889]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_75",0.0004884989610490715,"[0.0008352379813098293, 0.00014175994078831377]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_76",0.0008054020238693623,"[0.001368899505478902, 0.00024190454225982255]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_77",0.0007629023433930564,"[0.001368899505478902, 0.0001569051813072107]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_78",0.0006971210067246434,"[0.0012206781564971037, 0.00017356385695218313]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_79",0.0006470109259079726,"[0.0011522619110276315, 0.00014175994078831377]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_80",0.0005914220073407111,"[0.0010259388333742115, 0.0001569051813072107]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_81",0.00047874994319377915,"[0.0008108515289718942, 0.0001466483574156641]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_82",0.0009237739989979646,"[0.0015335676165852406, 0.0003139803814106887]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_83",0.0009635703256605866,"[0.0016688357651013226, 0.00025830488621985065]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_84",0.0007910136018113245,"[0.001408463346670466, 0.00017356385695218313]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_85",0.0007711772684398335,"[0.001330362958296158, 0.000211991578583509]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_86",0.00031981892137349414,"[0.0005159383950093313, 0.00012369944773765702]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_87",0.000767367054228984,"[0.0012928295661981453, 0.00024190454225982255]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_88",0.000557175129940781,"[0.000967701902465898, 0.0001466483574156641]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_89",0.000984214636146322,"[0.00162257249440938, 0.00034585677788326417]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_90",0.0006615197980363617,"[0.001186014301576118, 0.00013702529449660525]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_91",0.0005769691069740486,"[0.0010259388333742115, 0.0001279993805738857]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_92",0.00042660073071027903,"[0.0007415992752906844, 0.0001116021861298737]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_93",0.0006099224481335651,"[0.001087404991202061, 0.00013243990506506942]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_94",0.00019837260919605546,[0.00019837260919605546],1
