Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",2.8412665313233557e-05,"[9.398590420380336e-05, 2.7283834121940214e-07, 2.5734222679671848e-06, 1.3809819142665687e-06, 8.320707985019014e-06, 5.764704476527873e-05, 2.2139885475309257e-06, 8.471914316814886e-07, 9.238672466384252e-05, 2.449784901172631e-05]",10
"value_norm__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",0.0002142691396309,"[0.0001245742516595212, 0.0001901883232027629, 9.286968004357242e-05, 0.00044029885268549864, 0.0002234145905632116]",5
"value_norm__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",0.0003321536405807,"[0.00034434169037518943, 0.0005519794655911146, 0.00010844202672875589, 0.000769834867461944, 0.0003014996500110326, 3.990840965520098e-05, 0.0003887648295898766, 0.0001524581852331187]",8
"value_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0002961918792753,"[0.00034558564302320167, 0.00027522245558933166, 5.235555936148062e-05, 0.0005116038591274505]",4
"value_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",2.171094630163661e-06,"[1.1529163798044634e-05, 2.106191478588663e-08, 3.613268768320849e-08, 1.883639630693269e-07, 4.873437425188896e-07, 1.5374645251861394e-06, 8.299367926354931e-07, 7.720353630384669e-07, 1.4706594891375597e-06, 4.8387840255370055e-06]",10
"value_norm__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.0007354498815247,"[0.0011187543600347162, 0.0007700525491957095, 4.860156088872589e-05, 0.0010043910559796923]",4
"value_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",3.6933035181881206e-06,"[1.8414058494394634e-05, 3.502739692734666e-08, 8.91922881838259e-08, 2.492324253669092e-07, 9.510227194631089e-07, 3.5899697414802814e-06, 1.0885526827329426e-06, 8.471914316814886e-07, 2.8203878511321725e-06, 8.848400150518497e-06]",10
"value_norm__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",5.638323323229946e-05,[5.638323323229946e-05],1
"value_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",4.489977539322874e-06,"[2.1475934365666632e-05, 4.73538867041505e-08, 1.1638992368373868e-07, 3.289008457006781e-07, 1.3833670839224118e-06, 4.175553813908253e-06, 1.1908387391191978e-06, 9.293682814476253e-07, 4.201168831060107e-06, 1.1050899622015945e-05]",10
"value_norm__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.0001084420267287,[0.00010844202672875589],1
"value_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",5.81165800173088e-06,"[2.501867998591066e-05, 7.779290727309787e-08, 1.8045515618029323e-07, 4.3289222622861343e-07, 2.193468921867996e-06, 7.0332932998785794e-06, 1.302339404382956e-06, 8.471914316814886e-07, 7.259365144796827e-06, 1.3771101539108287e-05]",10
"value_norm__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.0001250095716378,[0.00012500957163784143],1
"value_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",7.019631127713237e-06,"[2.501867998591066e-05, 1.397180363480912e-07, 2.551291565103575e-07, 6.802893146167151e-07, 4.5078124636568455e-06, 1.0895595867079248e-05, 1.5562161689822726e-06, 8.471914316814886e-07, 1.1483734313598519e-05, 1.4811944538748167e-05]",10
"value_norm__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.0001341617465801,[0.00013416174658013267],1
"value_norm__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",8.386850324516753e-06,"[3.139166237281396e-05, 1.6941822804346155e-07, 3.2991603300117514e-07, 7.440035761679696e-07, 5.873670473821395e-06, 1.3518020648304098e-05, 1.857320740745866e-06, 7.03322860810788e-07, 1.5510066772350523e-05, 1.3771101539108287e-05]",10
"value_norm__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.0001543920849773,[0.00015439208497730663],1
"value_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",1.1255476703631982e-05,"[3.928826187061628e-05, 1.864724718499645e-07, 5.957650292745299e-07, 7.440035761679696e-07, 6.4111698064638095e-06, 2.2175554094555466e-05, 1.7003741581757531e-06, 6.405221415762538e-07, 1.7997073012073733e-05, 2.2815570875566082e-05]",10
"value_norm__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",0.0001384113517313,[0.00013841135173131065],1
"value_norm__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.0001655526036275,[0.0001655526036275944],1
"value_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",1.384278014491021e-05,"[4.904682295233237e-05, 1.864724718499645e-07, 1.0626510371165079e-06, 7.440035761679696e-07, 6.4111698064638095e-06, 2.549009456693062e-05, 1.4238464645532794e-06, 5.30735915582563e-07, 3.22884041513511e-05, 2.1243600506753894e-05]",10
"value_norm__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",4.6136186050955126e-05,[4.6136186050955126e-05],1
"value_norm__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.0001774689060222,[0.00017746890602221647],1
"value_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",1.5252893077089677e-05,"[5.678479595834593e-05, 2.0518070920731496e-07, 1.1530711128273789e-06, 8.891122050844713e-07, 7.630668606261066e-06, 2.377793148661033e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 4.002957152425334e-05, 1.9775081556740314e-05]",10
"value_norm__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.0003918327231177,"[0.0006847760486521223, 9.88893975834441e-05]",2
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,1.7659048762468244e-05,"[2.106191478588663e-08, 1.3779871171692918e-05, 2.2708913902815485e-07, 7.15513843351725e-07, 2.028136541948033e-06, 1.0191922143990462e-06, 0.00010582247651207195]",7
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_2,5.3253912814242535e-05,"[5.6927926051291184e-06, 7.488934922473457e-05, 8.891122050844713e-07, 3.7364609955923535e-05, 3.9725825245671636e-07, 2.7209998781536314e-07, 0.00025327216746855397]",7
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_3,6.59946621794384e-05,"[3.874273397907018e-08, 0.00035285351343572165, 1.3809819142665687e-06, 4.124433063674461e-06, 2.106042918018927e-05, 1.6509872748799388e-05]",6
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0002221330170502,"[3.1658642591296486e-08, 2.068525106476932e-07, 5.367195952029879e-07, 0.0006293116292942724, 0.0004805782252084892]",5
"value_norm__fft_coefficient__attr_""abs""__coeff_10",1.129539546975611e-05,"[1.3471904327583268e-06, 2.1243600506753894e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_11",6.210763775594892e-05,"[3.146963979542481e-06, 5.764704476527873e-05, 0.00012552890452302554]",3
"value_norm__fft_coefficient__attr_""abs""__coeff_12",0.0001008873497302,[0.00010088734973027149],1
"value_norm__fft_coefficient__attr_""abs""__coeff_5",0.0002814868459936,[0.0002814868459936689],1
"value_norm__fft_coefficient__attr_""abs""__coeff_6",9.603765278947044e-05,"[2.028136541948033e-06, 0.0003989412851297698, 1.6435848518162952e-06, 7.15513843351725e-07, 0.00010428614912958152, 6.86112472403552e-05]",6
"value_norm__fft_coefficient__attr_""abs""__coeff_7",1.592754016234742e-05,[1.592754016234742e-05],1
"value_norm__fft_coefficient__attr_""abs""__coeff_8",0.0002244322066584,"[0.00041882370737971386, 3.0040705937091366e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_9",0.0003091341113426,"[2.0663475383518243e-06, 0.0008688965045777253, 5.64394819118591e-05]",3
"value_norm__fft_coefficient__attr_""angle""__coeff_1",3.195036525531027e-05,"[9.398590420380336e-05, 1.0439854321139711e-07, 6.475972554161687e-07, 5.19142793923418e-07, 4.124433063674461e-06, 0.00011823981190300548, 1.302339404382956e-06, 7.03322860810788e-07, 5.697577396175735e-05, 4.2900928563117333e-05]",10
"value_norm__fft_coefficient__attr_""angle""__coeff_2",3.483477538541171e-05,[3.483477538541171e-05],1
"value_norm__fft_coefficient__attr_""angle""__coeff_3",0.0004208588862223,"[0.00021322931832229135, 0.0006284884541224486]",2
"value_norm__fft_coefficient__attr_""angle""__coeff_4",7.390707003730725e-05,"[0.0005081427929353942, 1.1324200400627192e-08, 4.256589695084606e-07, 1.0612801158999343e-06, 7.869608789640986e-07, 0.0001431256614195767, 9.382591501339204e-06, 5.080594898472942e-06, 1.0645553062925713e-05, 6.040828239059062e-05]",10
"value_norm__fft_coefficient__attr_""angle""__coeff_5",0.0002126780762788,"[1.9451075012243494e-05, 0.0003317241200745769, 0.00025014067026243734, 0.0005116038591274505, 0.00010428614912958152, 5.8862584066539226e-05]",6
"value_norm__fft_coefficient__attr_""angle""__coeff_8",0.0002695673517608,[0.00026956735176082594],1
"value_norm__fft_coefficient__attr_""angle""__coeff_9",0.0002627588284606,"[4.5563499007653114e-05, 0.0009259818247019381, 1.0248437665756661e-05, 8.018894907653658e-05, 0.0005142583335094868, 3.1192680241211875e-07]",6
"value_norm__fft_coefficient__attr_""imag""__coeff_1",0.0001881237861886,"[0.00019877866635511, 0.00017746890602221647]",2
"value_norm__fft_coefficient__attr_""imag""__coeff_10",6.464036112750098e-05,[6.464036112750098e-05],1
"value_norm__fft_coefficient__attr_""imag""__coeff_12",7.396051515819355e-05,[7.396051515819355e-05],1
