Feature,Mean P Value,P Values
"value_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",9.569088064228745e-05,"[4.822259170246922e-05, 1.63174004440214e-06, 0.000306873135638555, 2.6036055183723408e-05]"
"value_norm__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",2.7591875214725177e-05,"[5.6053119567274515e-06, 1.269579675052488e-06, 6.998019771927489e-05, 3.351241150784588e-05]"
"value_norm__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",3.6254438543758345e-06,"[6.479818650127063e-07, 4.954805301625103e-07, 5.7680604586573164e-06, 7.590252563670804e-06]"
"value_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0006230274367849767,"[0.0006518646709766812, 0.0005941902025932723]"
"value_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",2.7534494412152174e-05,"[0.00013679717751081524, 1.1262281329005248e-07, 9.780836399886762e-10, 7.440334937202945e-07, 1.7660159295271958e-08]"
"value_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",4.472716823002673e-05,"[0.0002219072816631786, 2.10269907116219e-07, 2.3569425900333657e-09, 1.4801298555684752e-06, 3.5802781680330424e-08]"
"value_norm__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",7.40485929515402e-05,"[0.0003669147030385167, 3.5543180465217877e-07, 5.29737924028281e-09, 2.8926726472045646e-06, 7.485988808726055e-08]"
"value_norm__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",1.5028688101063617e-06,"[6.760503625249479e-07, 1.1141295257559252e-08, 5.148409462718213e-06, 1.7587411992472597e-07]"
"value_norm__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",2.1748609741299203e-06,"[9.872990819042661e-07, 1.645982006850555e-08, 7.503529042989322e-06, 1.9215595155758765e-07]"
"value_norm__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",3.59260941073146e-06,"[1.4342432813152336e-06, 2.6646326244812805e-08, 1.258447242120736e-05, 3.2507561415843393e-07]"
"value_norm__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",4.73915206716403e-06,"[2.1583723884657395e-06, 5.1712142161798347e-08, 1.6224482881724806e-05, 5.220408563037748e-07]"
"value_norm__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",7.295503665592855e-06,"[3.3582522202888636e-06, 8.625847037332961e-08, 2.4905738426578628e-05, 8.31765545130601e-07]"
"value_norm__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",0.0005776043076032863,[0.0005776043076032863]
"value_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",1.158126704401329e-05,"[5.184198336301704e-06, 1.5625435465686818e-07, 3.923212472014653e-05, 1.7524907649480636e-06]"
"value_norm__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",0.00014472489347853754,"[0.00021462540702390948, 7.482437993316562e-05]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.0005021231789101447,"[0.0008603032841221961, 0.0001439430736980931]"
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.0007629991012747775,"[0.0007197640357000501, 0.0008062341668495048]"
"value_norm__fft_aggregated__aggtype_""centroid""",0.00020670294380404375,[0.00020670294380404375]
"value_norm__fft_aggregated__aggtype_""kurtosis""",0.00013037971224430837,[0.00013037971224430837]
"value_norm__fft_aggregated__aggtype_""skew""",0.00015909296057605313,[0.00015909296057605313]
"value_norm__fft_aggregated__aggtype_""variance""",0.0001140316464276185,[0.0001140316464276185]
"value_norm__fft_coefficient__attr_""abs""__coeff_14",0.0006505004121483499,[0.0006505004121483499]
"value_norm__fft_coefficient__attr_""abs""__coeff_15",5.310948546669331e-05,[5.310948546669331e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_24",0.0010259388333742115,[0.0010259388333742115]
"value_norm__fft_coefficient__attr_""abs""__coeff_26",0.0008603032841221961,[0.0008603032841221961]
"value_norm__fft_coefficient__attr_""abs""__coeff_27",0.00047052572018250105,[0.00047052572018250105]
"value_norm__fft_coefficient__attr_""abs""__coeff_28",0.0010562583248630998,[0.0010562583248630998]
"value_norm__fft_coefficient__attr_""abs""__coeff_29",0.0012206781564971037,[0.0012206781564971037]
"value_norm__fft_coefficient__attr_""abs""__coeff_30",0.0002942886870174352,[0.0002942886870174352]
"value_norm__fft_coefficient__attr_""abs""__coeff_31",0.00047052572018250105,[0.00047052572018250105]
"value_norm__fft_coefficient__attr_""abs""__coeff_32",0.0002590423387083899,[0.0002590423387083899]
"value_norm__fft_coefficient__attr_""abs""__coeff_33",0.0009397457798746754,[0.0009397457798746754]
"value_norm__fft_coefficient__attr_""abs""__coeff_34",0.00033398923779408193,[0.00033398923779408193]
"value_norm__fft_coefficient__attr_""abs""__coeff_35",9.963101615303072e-05,[9.963101615303072e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_36",0.0002674626178938425,[0.0002674626178938425]
"value_norm__fft_coefficient__attr_""abs""__coeff_37",0.00013935902331834615,[0.00013935902331834615]
"value_norm__fft_coefficient__attr_""abs""__coeff_38",0.0002135174953001479,[0.0002135174953001479]
"value_norm__fft_coefficient__attr_""abs""__coeff_39",0.0002674626178938425,[0.0002674626178938425]
"value_norm__fft_coefficient__attr_""abs""__coeff_40",0.0002942886870174352,[0.0002942886870174352]
"value_norm__fft_coefficient__attr_""abs""__coeff_41",0.00014891852627449582,[0.00014891852627449582]
"value_norm__fft_coefficient__attr_""abs""__coeff_42",0.00041576069674602366,[0.00041576069674602366]
"value_norm__fft_coefficient__attr_""abs""__coeff_43",0.00015392663294030713,[0.00015392663294030713]
"value_norm__fft_coefficient__attr_""abs""__coeff_44",0.0002850785186234347,[0.0002850785186234347]
"value_norm__fft_coefficient__attr_""abs""__coeff_45",0.0002429420957030085,[0.0002429420957030085]
"value_norm__fft_coefficient__attr_""abs""__coeff_46",0.00016442214788354228,[0.00016442214788354228]
"value_norm__fft_coefficient__attr_""abs""__coeff_47",0.00017558827864484433,[0.00017558827864484433]
"value_norm__fft_coefficient__attr_""abs""__coeff_48",0.0002761389503598368,[0.0002761389503598368]
"value_norm__fft_coefficient__attr_""abs""__coeff_49",0.0002697893565979935,"[7.58216237948866e-05, 0.0004637570894011004]"
"value_norm__fft_coefficient__attr_""abs""__coeff_50",0.00020670294380404375,[0.00020670294380404375]
"value_norm__fft_coefficient__attr_""abs""__coeff_51",0.00022054259206568644,[0.00022054259206568644]
"value_norm__fft_coefficient__attr_""abs""__coeff_52",0.00023524864093686976,[0.00023524864093686976]
"value_norm__fft_coefficient__attr_""abs""__coeff_53",0.0002850785186234347,[0.0002850785186234347]
"value_norm__fft_coefficient__attr_""abs""__coeff_54",0.00033398923779408193,[0.00033398923779408193]
"value_norm__fft_coefficient__attr_""abs""__coeff_55",0.00019368217086421373,[0.00019368217086421373]
"value_norm__fft_coefficient__attr_""abs""__coeff_56",0.0005003654807288429,[0.0005003654807288429]
"value_norm__fft_coefficient__attr_""abs""__coeff_57",0.0002761389503598368,[0.0002761389503598368]
"value_norm__fft_coefficient__attr_""abs""__coeff_58",0.0002674626178938425,[0.0002674626178938425]
"value_norm__fft_coefficient__attr_""abs""__coeff_59",0.0001699189574452326,[0.0001699189574452326]
"value_norm__fft_coefficient__attr_""abs""__coeff_60",0.00030377700568546217,[0.00030377700568546217]
"value_norm__fft_coefficient__attr_""abs""__coeff_61",0.00017558827864484433,[0.00017558827864484433]
"value_norm__fft_coefficient__attr_""abs""__coeff_62",0.0002277842500467506,[0.0002277842500467506]
"value_norm__fft_coefficient__attr_""abs""__coeff_63",0.0002850785186234347,[0.0002850785186234347]
"value_norm__fft_coefficient__attr_""abs""__coeff_64",0.00033398923779408193,[0.00033398923779408193]
"value_norm__fft_coefficient__attr_""abs""__coeff_65",0.00037865858732430744,[0.00037865858732430744]
"value_norm__fft_coefficient__attr_""abs""__coeff_66",0.00020670294380404375,[0.00020670294380404375]
"value_norm__fft_coefficient__attr_""abs""__coeff_67",0.0002429420957030085,[0.0002429420957030085]
"value_norm__fft_coefficient__attr_""abs""__coeff_68",0.00018143513064503502,[0.00018143513064503502]
"value_norm__fft_coefficient__attr_""abs""__coeff_69",0.00020009307391672318,[0.00020009307391672318]
"value_norm__fft_coefficient__attr_""abs""__coeff_7",8.316143657843692e-05,[8.316143657843692e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_70",0.0001699189574452326,[0.0001699189574452326]
"value_norm__fft_coefficient__attr_""abs""__coeff_71",0.0003135512146470202,[0.0003135512146470202]
"value_norm__fft_coefficient__attr_""abs""__coeff_72",0.0002277842500467506,[0.0002277842500467506]
"value_norm__fft_coefficient__attr_""abs""__coeff_73",0.00020670294380404375,[0.00020670294380404375]
"value_norm__fft_coefficient__attr_""abs""__coeff_74",0.0002942886870174352,[0.0002942886870174352]
"value_norm__fft_coefficient__attr_""abs""__coeff_75",0.00023524864093686976,[0.00023524864093686976]
"value_norm__fft_coefficient__attr_""abs""__coeff_76",0.0002674626178938425,[0.0002674626178938425]
"value_norm__fft_coefficient__attr_""abs""__coeff_77",0.0002674626178938425,[0.0002674626178938425]
"value_norm__fft_coefficient__attr_""abs""__coeff_78",0.0002942886870174352,[0.0002942886870174352]
"value_norm__fft_coefficient__attr_""abs""__coeff_79",9.630904929428095e-05,[9.630904929428095e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_80",0.0002942886870174352,[0.0002942886870174352]
"value_norm__fft_coefficient__attr_""abs""__coeff_81",0.00023524864093686976,[0.00023524864093686976]
"value_norm__fft_coefficient__attr_""abs""__coeff_82",0.00016442214788354228,[0.00016442214788354228]
"value_norm__fft_coefficient__attr_""abs""__coeff_83",0.0002590423387083899,[0.0002590423387083899]
"value_norm__fft_coefficient__attr_""abs""__coeff_84",0.0003135512146470202,[0.0003135512146470202]
"value_norm__fft_coefficient__attr_""abs""__coeff_85",0.0002277842500467506,[0.0002277842500467506]
"value_norm__fft_coefficient__attr_""abs""__coeff_86",0.0002429420957030085,[0.0002429420957030085]
"value_norm__fft_coefficient__attr_""abs""__coeff_87",0.00015392663294030713,[0.00015392663294030713]
"value_norm__fft_coefficient__attr_""abs""__coeff_88",0.00015392663294030713,[0.00015392663294030713]
"value_norm__fft_coefficient__attr_""abs""__coeff_89",9.963101615303072e-05,[9.963101615303072e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_90",0.00018746466542292247,[0.00018746466542292247]
"value_norm__fft_coefficient__attr_""abs""__coeff_91",8.997636203182166e-05,[8.997636203182166e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_92",0.00015392663294030713,[0.00015392663294030713]
"value_norm__fft_coefficient__attr_""abs""__coeff_93",0.0001699189574452326,[0.0001699189574452326]
"value_norm__fft_coefficient__attr_""abs""__coeff_94",0.00018746466542292247,[0.00018746466542292247]
"value_norm__fft_coefficient__attr_""abs""__coeff_95",8.403845940402944e-05,[8.403845940402944e-05]
"value_norm__fft_coefficient__attr_""abs""__coeff_96",0.00012609726830996998,[0.00012609726830996998]
"value_norm__fft_coefficient__attr_""abs""__coeff_97",0.0001347989435256983,[0.0001347989435256983]
"value_norm__fft_coefficient__attr_""abs""__coeff_98",0.00017558827864484433,[0.00017558827864484433]
"value_norm__fft_coefficient__attr_""abs""__coeff_99",0.00018143513064503502,[0.00018143513064503502]
"value_norm__fft_coefficient__attr_""angle""__coeff_1",4.6843163690651086e-05,"[4.431049497389566e-06, 2.7983706967989085e-07, 0.00016392879161684673, 1.8732976578688152e-05]"
"value_norm__fft_coefficient__attr_""angle""__coeff_2",0.0007952008387111325,"[0.0012928295661981453, 0.00029757211122411967]"
"value_norm__fft_coefficient__attr_""angle""__coeff_4",0.0003301668881400863,"[0.000442352765500732, 2.1996746238390303e-05, 0.0005261511526811367]"
"value_norm__fft_coefficient__attr_""angle""__coeff_6",0.0009567173659854756,[0.0009567173659854756]
"value_norm__fft_coefficient__attr_""angle""__coeff_8",7.774832743393825e-05,[7.774832743393825e-05]
"value_norm__fft_coefficient__attr_""angle""__coeff_9",0.0005941902025932723,[0.0005941902025932723]
"value_norm__fft_coefficient__attr_""imag""__coeff_11",0.00023283587814183098,[0.00023283587814183098]
"value_norm__fft_coefficient__attr_""imag""__coeff_2",9.865129608690611e-06,"[1.1188238874365226e-06, 1.997391298133222e-08, 3.5358799908248034e-05, 2.9629207260965563e-06]"
"value_norm__fft_coefficient__attr_""imag""__coeff_3",0.0001076524647717563,"[6.836858586354823e-05, 7.270597493940137e-06, 0.00019218214299858045, 0.00016278853273095638]"
"value_norm__fft_coefficient__attr_""imag""__coeff_8",0.00034102290002384274,[0.00034102290002384274]
"value_norm__fft_coefficient__attr_""real""__coeff_1",6.568686789300227e-06,"[1.320633831256747e-06, 9.613713704919692e-09, 2.4039987191254715e-05, 9.045124209845283e-07]"
"value_norm__fft_coefficient__attr_""real""__coeff_10",0.00036309366593255274,[0.00036309366593255274]
"value_norm__fft_coefficient__attr_""real""__coeff_17",7.258511341697778e-05,[7.258511341697778e-05]
"value_norm__fft_coefficient__attr_""real""__coeff_2",0.00018079612900233488,"[0.00012609726830996998, 1.757462982025311e-05, 0.0003987164888767816]"
"value_norm__fft_coefficient__attr_""real""__coeff_20",0.0002641974014287187,"[0.00015392663294030713, 6.722212610787002e-06, 9.43956585139033e-05, 0.0008017451016498773]"
"value_norm__fft_coefficient__attr_""real""__coeff_22",0.0003006347035793434,[0.0003006347035793434]
"value_norm__fft_coefficient__attr_""real""__coeff_3",0.0005776555477819656,"[0.0007197640357000501, 0.00043554705986388105]"
"value_norm__fft_coefficient__attr_""real""__coeff_4",0.00030701244858545156,"[0.0002277842500467506, 5.4611194365888547e-05, 0.0002548982810269045, 0.0006907560689022626]"
"value_norm__fft_coefficient__attr_""real""__coeff_9",0.00044715723631242536,"[0.0006688600028838313, 0.00022545446974101942]"
value_norm__fourier_entropy__bins_10,0.0005056350978333491,[0.0005056350978333491]
value_norm__fourier_entropy__bins_3,0.0008857529402743101,[0.0008857529402743101]
value_norm__fourier_entropy__bins_5,0.00018237886266876882,"[3.774229497494978e-05, 0.00032701543036258785]"
