feature,feature,type,p_value,relevant
value__number_peaks__n_1,value__number_peaks__n_1,real,0.00019837534162070922,True
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",real,0.0002064666031608303,True
"value__fft_coefficient__attr_""abs""__coeff_1","value__fft_coefficient__attr_""abs""__coeff_1",real,0.00021992387401308179,True
value__number_peaks__n_5,value__number_peaks__n_5,real,0.00022910136791442047,True
value__cid_ce__normalize_False,value__cid_ce__normalize_False,real,0.00023420137508025233,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,0.000273792017357015,True
"value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",real,0.0003195902918153509,True
value__minimum,value__minimum,real,0.0003724847035576479,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",real,0.0003840011443837951,True
value__spkt_welch_density__coeff_2,value__spkt_welch_density__coeff_2,real,0.000395849688335792,True
"value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_5",real,0.00042057847660161035,True
"value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",real,0.00044674396312570114,True
"value__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",real,0.00046038919476343207,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,0.000518953363659942,True
value__quantile__q_0.4,value__quantile__q_0.4,real,0.000518953363659942,True
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",real,0.0005673554756775124,True
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",real,0.0005844021144304213,True
"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",real,0.0006770197259985771,True
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",real,0.0006770197259985771,True
"value__matrix_profile__feature_""75""__threshold_0.98","value__matrix_profile__feature_""75""__threshold_0.98",real,0.0007389597281334588,True
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,0.0008297495449021908,True
value__quantile__q_0.8,value__quantile__q_0.8,real,0.0008297495449021908,True
"value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""real""__coeff_1",real,0.0012012131064752288,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",real,0.0013432935601364194,False
"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",real,0.001459857913008252,False
"value__matrix_profile__feature_""mean""__threshold_0.98","value__matrix_profile__feature_""mean""__threshold_0.98",real,0.001721422016483015,False
"value__fft_coefficient__attr_""angle""__coeff_5","value__fft_coefficient__attr_""angle""__coeff_5",real,0.001721422016483015,False
value__range_count__max_1__min_-1,value__range_count__max_1__min_-1,real,0.0017287243723282642,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",real,0.001817767356023186,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",real,0.0018677760712403708,False
"value__matrix_profile__feature_""25""__threshold_0.98","value__matrix_profile__feature_""25""__threshold_0.98",real,0.0019716050507211425,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,0.002025482721848447,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",real,0.0023157013429735713,False
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",real,0.0023781299135694008,False
"value__fft_coefficient__attr_""abs""__coeff_7","value__fft_coefficient__attr_""abs""__coeff_7",real,0.002860103351592047,False
"value__fft_coefficient__attr_""angle""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_2",real,0.002935808223427332,False
value__benford_correlation,value__benford_correlation,real,0.002935808223427332,False
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",real,0.0031740258816930415,False
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,0.003257264699865592,False
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",real,0.003429736591132092,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,0.003897880519967437,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,0.003998201964208218,False
value__number_peaks__n_10,value__number_peaks__n_10,real,0.004113296243684131,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,0.004205908819883345,False
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",real,0.004650944683165252,False
"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""imag""__coeff_2",real,0.0047686691146947855,False
"value__fft_coefficient__attr_""abs""__coeff_8","value__fft_coefficient__attr_""abs""__coeff_8",real,0.0047686691146947855,False
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,0.004889083932943801,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",real,0.005671133038871733,False
value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,0.006253428538364719,False
"value__fft_coefficient__attr_""imag""__coeff_1","value__fft_coefficient__attr_""imag""__coeff_1",real,0.006253428538364719,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",real,0.0068890064420954215,False
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",real,0.007056708817104911,False
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",real,0.007056708817104911,False
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",real,0.007056708817104911,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",real,0.007582031208075723,False
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",real,0.0077647754898076795,False
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",real,0.008142147084451164,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,0.008142147084451164,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,0.008336920608309517,False
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",real,0.008535851830833672,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",real,0.008739016479881902,False
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",real,0.008946491346364554,False
"value__matrix_profile__feature_""median""__threshold_0.98","value__matrix_profile__feature_""median""__threshold_0.98",real,0.009374684256405674,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",real,0.010051281991679662,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",real,0.010771029782416518,False
"value__matrix_profile__feature_""min""__threshold_0.98","value__matrix_profile__feature_""min""__threshold_0.98",real,0.011020931298696296,False
"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",real,0.011073357706876428,False
"value__fft_coefficient__attr_""abs""__coeff_5","value__fft_coefficient__attr_""abs""__coeff_5",real,0.012631396949042058,False
"value__linear_trend__attr_""slope""","value__linear_trend__attr_""slope""",real,0.013212737374746927,False
value__partial_autocorrelation__lag_9,value__partial_autocorrelation__lag_9,real,0.013817608340334858,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",real,0.014129114244610738,False
value__median,value__median,real,0.01444680092755815,False
"value__fft_coefficient__attr_""real""__coeff_10","value__fft_coefficient__attr_""real""__coeff_10",real,0.01510112530576927,False
value__index_mass_quantile__q_0.4,value__index_mass_quantile__q_0.4,real,0.015265872828965119,False
value__spkt_welch_density__coeff_5,value__spkt_welch_density__coeff_5,real,0.015437970345832401,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",real,0.01578141086132656,False
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",real,0.016131553546987365,False
value__max_langevin_fixed_point__m_3__r_30,value__max_langevin_fixed_point__m_3__r_30,real,0.01648850631207176,False
"value__matrix_profile__feature_""max""__threshold_0.98","value__matrix_profile__feature_""max""__threshold_0.98",real,0.01722327980613557,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",real,0.017986619004322593,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",real,0.01837928348837304,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",real,0.018779431145322923,False
value__longest_strike_below_mean,value__longest_strike_below_mean,real,0.02014699718865971,False
"value__linear_trend__attr_""rvalue""","value__linear_trend__attr_""rvalue""",real,0.020896536536064804,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",real,0.021799932025233174,False
value__partial_autocorrelation__lag_2,value__partial_autocorrelation__lag_2,real,0.02226424125590207,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",real,0.02226424125590207,False
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",real,0.022737126128213093,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,0.0242085158715908,False
