Feature,Mean P Value,P Values
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",4.0797510363193787e-08,"[1.5199843322035753e-09, 1.03689023280167e-08, 1.3088570156873292e-09, 1.6941822804346155e-07, 1.5199843322035753e-09, 7.280322498533285e-09, 8.270048278874665e-09, 1.8445240128659015e-07, 2.27037496541205e-08, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",2.658288860468596e-08,"[4.480556662472861e-08, 4.837025724162202e-09, 3.658457704543502e-08, 5.7808081678486176e-08, 2.5237375661712677e-08, 9.566735333468726e-09, 6.161086405170453e-10, 6.8426474597244575e-09, 6.654283138378442e-08, 1.2987936494840224e-08]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",4.969369672438906e-09,"[8.587284489072e-09, 5.470874312928451e-10, 7.1889805191778494e-09, 9.185663033875053e-09, 5.754678565967082e-09, 1.980298973932494e-09, 3.7364008822032e-10, 6.8426474597244575e-09, 5.125719524970274e-09, 4.107696638156694e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",0.0003327370434848585,"[6.248654796072773e-07, 4.925564849413006e-07, 0.0010507169624109944, 8.106853663153651e-06, 0.0005624846459257412, 3.84955630287026e-05, 0.0012060824243594124, 0.00011046831647734379, 1.7161203533829697e-05]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",4.808027920181268e-08,"[1.5524682722865232e-08, 2.2206271492828637e-09, 1.2877965769616659e-08, 9.46765862449809e-08, 4.480556662472861e-08, 7.249377215276217e-08, 5.180558538288055e-09, 5.033009131749098e-08, 1.729196436623916e-07, 9.773297835719823e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",3.1765745906528365e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 1.3943474675100325e-08, 1.5199843322035753e-09, 6.897904561497957e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 2.1591350908897815e-09, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",3.0125895380559017e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 1.2567704653012151e-08, 1.5199843322035753e-09, 6.258623083575867e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 1.958982734800818e-09, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",3.0125895380559017e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 1.2567704653012151e-08, 1.5199843322035753e-09, 6.258623083575867e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 1.958982734800818e-09, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",4.714383388115686e-08,"[1.5199843322035753e-09, 1.2515162801826728e-08, 1.3088570156873292e-09, 1.864724718499645e-07, 1.5199843322035753e-09, 7.976056178432314e-09, 9.954792498068972e-09, 2.241730106035564e-07, 2.486539333737863e-08, 1.132625862246542e-09]"
value__approximate_entropy__m_2__r_0.3,0.001400457878060215,[0.001400457878060215]
