Feature,Mean P Value,P Values
value_norm__number_peaks__n_50,0.0001089147990485647,"[6.183014358888069e-07, 0.00021721129666124058]"
value_norm__percentage_of_reoccurring_datapoints_to_all_datapoints,1.8262295536655006e-05,"[1.354707373562315e-05, 2.297751733768686e-05]"
value_norm__percentage_of_reoccurring_values_to_all_values,1.8262295536655006e-05,"[1.354707373562315e-05, 2.297751733768686e-05]"
value_norm__permutation_entropy__dimension_3__tau_1,0.0001013484147512738,"[4.83426381931937e-06, 0.0003730496158467422, 2.835408205920568e-05, 5.538325695139711e-07, 9.222540406394804e-05, 0.00010907329014891349]"
value_norm__permutation_entropy__dimension_4__tau_1,8.00617393929872e-05,"[1.566109439185862e-05, 5.251355393540303e-05, 2.1082213719602983e-06, 0.00012159685299359957, 0.0002084289742721145]"
value_norm__permutation_entropy__dimension_5__tau_1,8.154048749088519e-05,"[2.7548285592074327e-05, 7.991852060322006e-05, 3.242969290134801e-06, 0.00013565238412412107, 0.00016134027784487568]"
value_norm__permutation_entropy__dimension_6__tau_1,8.44379941507011e-05,"[4.4593136629742085e-05, 7.991852060322006e-05, 4.010902073512117e-06, 0.00012159685299359957, 0.0001720705584534316]"
value_norm__permutation_entropy__dimension_7__tau_1,7.63135088704362e-05,"[6.245607970899114e-05, 8.479430527126294e-05, 4.010902073512117e-06, 9.750224264378159e-05, 0.00013280401465463318]"
value_norm__range_count__max_1__min_-1,8.713477074409162e-05,[8.713477074409162e-05]
value_norm__ratio_beyond_r_sigma__r_1,8.474888440984683e-05,[8.474888440984683e-05]
value_norm__ratio_beyond_r_sigma__r_1.5,1.6105158817097154e-05,"[1.2563022092980887e-05, 1.9647295541213423e-05]"
value_norm__ratio_beyond_r_sigma__r_2,0.00014330247244275757,"[5.397803683399906e-05, 0.00023262690805151608]"
value_norm__ratio_beyond_r_sigma__r_2.5,8.151360995522575e-05,"[8.836369320123523e-05, 7.466352670921627e-05]"
value_norm__ratio_value_number_to_time_series_length,1.8262295536655006e-05,"[1.354707373562315e-05, 2.297751733768686e-05]"
value_norm__sample_entropy,0.0002088136272160492,[0.0002088136272160492]
value_norm__skewness,0.00017668810739088732,[0.00017668810739088732]
value_norm__spkt_welch_density__coeff_5,0.00012319517065952955,"[8.070231051809087e-08, 3.3149484001940455e-06, 0.0003661898612678765]"
value_norm__spkt_welch_density__coeff_8,0.0001663134519078731,"[4.951165748622929e-05, 0.00044631359895544556, 0.0001513385603714108, 1.8089990818406717e-05]"
