feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,anova_notes,f-oneway_stat,f-oneway_pvalue,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue,jarque-bera_stat,jarque-bera_pvalue,bartlett_stat,bartlett_pvalue
value__longest_strike_above_mean,156.0,87.32051282051282,8.705198431702655,64.0,82.0,86.0,93.0,114.0,30.0,89.0,7.62934443787434,76.0,82.25,88.5,96.0,104.0,65.0,85.81538461538462,10.566592857462837,64.0,81.0,86.0,91.0,114.0,61.0,88.09836065573771,6.6375319661070495,78.0,83.0,87.0,93.0,105.0,Heteroscedastic samples! ,1.7915234435189586,0.17018523556913595,0.222,0.8775,0.3045,4.7517586221192705,0.0929327364898975,13.697217416119305,0.0010609307309406358
value__count_above_mean,156.0,87.3525641025641,8.764889258030692,64.0,82.0,86.0,93.0,114.0,30.0,89.0,7.62934443787434,76.0,82.25,88.5,96.0,104.0,65.0,85.81538461538462,10.566592857462837,64.0,81.0,86.0,91.0,114.0,61.0,88.18032786885246,6.827659913228716,78.0,83.0,87.0,93.0,106.0,Heteroscedastic samples! ,1.8206664654572025,0.16540824220495517,0.2264,0.9,0.2841,4.839378663014362,0.08894924689583696,12.355783928990888,0.002074796993599518
value__count_below_mean,156.0,130.2051282051282,26.827457756203383,72.0,111.0,127.0,143.25,228.0,30.0,139.56666666666666,23.57187589763134,100.0,119.0,137.0,156.75,180.0,65.0,134.46153846153845,29.00542886850932,98.0,117.0,131.0,140.0,228.0,61.0,121.06557377049181,23.343713538094875,72.0,103.0,118.0,138.0,184.0,Non-normal residuals! ,6.63414492945118,0.0017257308785568152,0.634,0.0047,0.0118,35.7075749085802,1.7627820824217195e-08,3.4323967040513046,0.17974818999048345
value__last_location_of_maximum,156.0,0.489962165449634,0.0325421516804881,0.3924050632911392,0.4845307208514755,0.4951456310679611,0.5025974554431273,0.6258278145695364,30.0,0.4940934073230313,0.031407245840101856,0.4199134199134199,0.48771204871683344,0.4950980392156863,0.5023580987540379,0.6059113300492611,65.0,0.48994077872465913,0.036461472486826456,0.3924050632911392,0.4813278008298755,0.4970059880239521,0.5026178010471204,0.6258278145695364,61.0,0.48795319628441114,0.02877942945294677,0.3949579831932773,0.4862068965517241,0.4947368421052631,0.5025906735751295,0.5431034482758621,Non-normal residuals! ,0.3550205573008954,0.7017350913399472,0.8153,0.6627,0.9,64.43433971052418,1.0192035068885373e-14,3.491341277005435,0.17452790457794096
value__first_location_of_maximum,156.0,0.4852645773527618,0.03260110237936636,0.3892405063291139,0.4807067932067932,0.4907077100115075,0.49780141843971626,0.6225165562913907,30.0,0.48964809252641456,0.0314348009719303,0.4155844155844156,0.4833079599826011,0.4902912621359223,0.4980018458698661,0.6009852216748769,65.0,0.485287209058127,0.03646079921639005,0.3892405063291139,0.4771784232365145,0.4910179640718562,0.4977578475336323,0.6225165562913907,61.0,0.4830846344665592,0.028906563047461746,0.3907563025210084,0.481283422459893,0.4894736842105263,0.4977777777777777,0.5387931034482759,Non-normal residuals! ,0.40444447480515766,0.6680587846861885,0.7993,0.6303,0.9,64.79353410035218,8.516533098727066e-15,3.370582251611894,0.1853904521540972
value__last_location_of_minimum,156.0,0.6531691639194946,0.3388828036195432,0.003125,0.7112465356512976,0.7942435201928872,0.8569642857142857,1.0,30.0,0.7118322447059832,0.32084525073505976,0.0040485829959514,0.7802920905808992,0.8215100364963503,0.8782428776062391,1.0,65.0,0.6165977968876661,0.37012993642293524,0.003125,0.0663507109004739,0.7952380952380953,0.8719211822660098,1.0,61.0,0.6632879579108754,0.31227540730793724,0.0043103448275861,0.7226890756302521,0.7906976744186046,0.8295454545454546,1.0,Non-normal residuals! ,0.8535699297935953,0.42790970015935514,0.4148,0.7775,0.703,41.52539059884266,9.61337761985562e-10,1.9646498575674074,0.374439540822596
value__first_location_of_minimum,156.0,0.6484715758226232,0.33890524757415674,0.0,0.7069648264616818,0.7897528631705847,0.852530747398297,0.9963898916967509,30.0,0.7073869299093665,0.32092301745224716,0.0,0.7766754184443716,0.8177320939781022,0.8735775107432755,0.9956709956709956,65.0,0.6119442272211342,0.3702092833430225,0.0,0.0616113744075829,0.7904761904761904,0.8669950738916257,0.9963503649635036,61.0,0.658419396093024,0.3121867855178018,0.0,0.7184873949579832,0.7857142857142857,0.8238636363636364,0.9963898916967509,Non-normal residuals! ,0.8555268714578865,0.42708235751696577,0.4133,0.7743,0.7051,41.5725793581836,9.389210875291896e-10,1.9735221431369943,0.37278215247893365
value__percentage_of_reoccurring_values_to_all_values,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__percentage_of_reoccurring_datapoints_to_all_datapoints,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__sum_of_reoccurring_values,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__sum_of_reoccurring_data_points,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not enough unique values! ,,,,,,,,,
value__ratio_value_number_to_time_series_length,156.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,65.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,61.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Not enough unique values! ,,,,,,,,,
value__sample_entropy,156.0,0.06895757548704423,0.016706569561031885,0.0349970611626123,0.05535409841537582,0.0676691387126535,0.08285005808937643,0.1235148696841759,30.0,0.07056600753116007,0.01692183618569881,0.0495872945424502,0.055582798451510096,0.067057180971816,0.0840846552326975,0.1147755145924281,65.0,0.06624193308243484,0.014987993780899852,0.0349970611626123,0.0555045299377025,0.0665795275052425,0.075446087804232,0.1015589291308191,61.0,0.07106026065058736,0.018144896430680877,0.0382505293063258,0.0553625169804857,0.0696733750858561,0.0855526780763945,0.1235148696841759,,1.4902681591156504,0.22856416864582016,0.4708,0.9,0.2393,3.9271085954743663,0.140358656835609,2.254219385258604,0.3239682724151615
value__maximum,156.0,19.78813976745993,7.708684181611015,6.337269885261676,14.41949504736867,17.843168658749136,24.318418108831754,47.12682652615105,30.0,13.346744108937266,3.041485773907084,6.337269885261676,12.274013252446583,13.598109484163153,15.703372615958541,17.66009639265789,65.0,16.997140541607088,4.505522110629837,8.612285593979532,14.045687043393375,16.901554344773785,20.18598759426273,28.56868419331149,61.0,25.930054840183157,7.736335282763777,11.564622043346091,20.630093656634216,25.53404484101413,30.820415121057277,47.12682652615105,Non-normal residuals! Heteroscedastic samples! ,60.093444439112346,5.491813186548808e-20,0.0138,0.001,0.001,16.743769804161325,0.00023127920397620437,35.18887301488374,2.2847217317406783e-08
value__minimum,156.0,-13.049238782865672,4.884381371681068,-29.853201593185897,-15.902205909169377,-11.840874630254149,-9.744538510493557,-4.949255331828255,30.0,-8.92233483386488,1.995535008889545,-12.603379076837529,-10.25827631685911,-9.303048465933188,-7.766301510671976,-4.949255331828255,65.0,-10.932026398429302,2.6617262490227547,-18.795635340234963,-12.316202916795367,-11.052630900275744,-9.238961740815132,-5.867424861266329,61.0,-17.334909659232675,4.483786235774607,-29.853201593185897,-20.633491853474897,-16.970189963628133,-13.792816222075356,-9.28178868314011,Non-normal residuals! Heteroscedastic samples! ,82.85749029249898,4.155324618859744e-25,0.0226,0.001,0.001,21.925190695100312,1.73382528933518e-05,29.303583259907498,4.333190128614603e-07
