feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",156.0,0.0096423753267431,0.000241071220129,0.0082370821691906,0.0095386344140588,0.0097246593514962,0.009805207316342,0.0099175417332234,30.0,0.0097225857104987,0.000126733829995,0.0093091728777123,0.0096980034543663,0.0097621044894148,0.0098024762409771,0.0098692598625939,65.0,0.009662567671482,0.0002039223626077,0.0089268788331196,0.0095540261417589,0.0097247054180475,0.0098177901273676,0.0099000598610316,61.0,0.0095814111641086,0.0003009559499868,0.0082370821691906,0.0094894243977955,0.0096361105481509,0.0097843360139888,0.0099175417332234,0.1414905298999778,0.1693427593933497,0.0158759461830271,0.0109488044998732,0.0772430915328777,0.0591286952199965
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",156.0,0.0097803849460978,0.0002545921427621,0.0081675486841312,0.0097064224315837,0.0098776022298189,0.0099511172521859,0.0099814732632823,30.0,0.0098599845967361,0.0001446842428379,0.0093768221542699,0.0098184607187521,0.0099123656510796,0.0099661856757348,0.0099809783625733,65.0,0.0098184486605361,0.0001997518430413,0.0091226708585453,0.0097410479668746,0.0099159926486393,0.0099576500025371,0.0099814732632823,61.0,0.0097006778812186,0.0003218211677349,0.0081675486841312,0.0096185000532465,0.0097752704677069,0.0099216370187814,0.0099754084494205,0.3100116624292895,0.2622222243710087,0.0115032697543874,0.0005349507040095,0.0143067286307184,0.0017272026751121
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",156.0,3.3537957231347214e-05,1.0535124879290456e-05,1.5373453504601043e-05,2.5967706492141865e-05,3.161561781870913e-05,3.876961546928065e-05,8.514811498161256e-05,30.0,3.984995392480964e-05,6.988832753722476e-06,2.79194204502965e-05,3.354190535187304e-05,4.046680858658752e-05,4.495829869229451e-05,5.1448863110701264e-05,65.0,3.3536631605598394e-05,1.2116942017913626e-05,1.923624536954313e-05,2.541926916141574e-05,3.10626159346602e-05,3.695849623699476e-05,8.514811498161256e-05,61.0,3.0435109114458648e-05,8.763349814173502e-06,1.5373453504601043e-05,2.3320554129358085e-05,2.8668043013712903e-05,3.568149957656484e-05,5.793201089552137e-05,0.0093905998059215,5.976724300021577e-05,1.6693780993899455e-06,1.258827111445705e-06,0.104131948618171,0.0881526825077866
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",156.0,0.1249785244560129,0.0056903263961337,0.0919283413363125,0.1222712565469649,0.1253838204473032,0.1285800448375145,0.1351381576905422,30.0,0.1257553504215618,0.0049922532282154,0.1127767642097193,0.1226877896252855,0.1272372241249963,0.1286549666342447,0.1342132554610779,65.0,0.1264464330304975,0.0043289193598915,0.1138505095269547,0.1238883843870044,0.1258928821236281,0.1302528905025682,0.1351381576905422,61.0,0.123032314024735,0.0067176020292616,0.0919283413363125,0.1212419266456172,0.1235691399496951,0.1269588086173024,0.1342315066141853,0.4927161949880489,0.4004425270942916,0.0523080357276711,0.0175846278861067,0.0008713203526816,0.0008912649650129
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",156.0,0.1057388848134283,0.0050701347879273,0.0896392730286234,0.1025474555332796,0.1064724185627612,0.1091245656423768,0.1190365369661811,30.0,0.1059160552601247,0.0037357833352357,0.0951460558589508,0.1041663378968899,0.1060556007261418,0.1072333112992003,0.1190365369661811,65.0,0.104804276055203,0.0055185230629417,0.0896392730286234,0.1020607993940029,0.1055624230163686,0.1090563988066272,0.1135765023972357,61.0,0.1066476463852933,0.0050375050927097,0.095451535313953,0.1028910434901458,0.1074809658038217,0.109685574361888,0.1161730925685855,0.3193159023704366,0.4191129072738919,0.4826482208891247,0.0837395993199127,0.0529162594069892,0.0552107486529902
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",156.0,0.1172840393448024,0.0032001056329164,0.0978387427508312,0.1159346008774507,0.1183568643679875,0.1194756779002279,0.1204935112302439,30.0,0.1180864689007078,0.0016826449259237,0.1125697456902089,0.1176471269090105,0.118524486190408,0.1193088056297598,0.1198912158606557,65.0,0.1177374914280588,0.0025716263525297,0.1090275374609127,0.116032219058699,0.1187306656252627,0.1196339448910432,0.1204935112302439,61.0,0.1164062152121988,0.0040870963327885,0.0978387427508312,0.1153072469030111,0.1173658853279945,0.1194427480204096,0.1201218492538475,0.4992917106913107,0.3055840115078421,0.0335669667084568,0.0586644657450609,0.0294735172353745,0.0192345027028271
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",156.0,0.0087541940651107,0.0023359947705441,0.0045538760241623,0.0072937440440438,0.0084409353137226,0.0095865348798438,0.0205852490477913,30.0,0.0094376223388832,0.0018895803427176,0.0060013036974916,0.0080300536370583,0.0092131155150794,0.0099915209226342,0.0136620657601233,65.0,0.0088708061940468,0.0024828534556343,0.005452328594397,0.0075156794421426,0.0084861379982482,0.0094367179736019,0.0205852490477913,61.0,0.0082938229734055,0.0023090896951652,0.0045538760241623,0.0067056287338012,0.0080146977917721,0.0092539251524419,0.0176727458741706,0.2700054628144371,0.0387471988178539,0.0209054601909678,0.0019688221560948,0.1799805453605993,0.0530657405340428
"value_norm__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",156.0,-1.4820576897323918,0.6963627224381657,-5.072341988028453,-1.7933205794240292,-1.4923057927751753,-1.122912913133001,0.6755720978501762,30.0,-1.7969915252976518,0.4302790451308689,-2.9768049609831286,-2.107908907305599,-1.7581128556163734,-1.6015497640236993,-0.940591386316128,65.0,-1.2611618424168325,0.6767276978341756,-3.299087119495243,-1.5429816476757594,-1.2634247602008375,-0.8251290559966259,0.3003358899269939,61.0,-1.5625530177414686,0.7521282384432202,-5.072341988028453,-1.831829812662331,-1.5478330737699573,-1.247914257174026,0.6755720978501762,0.0001387089954252,4.342570864948936e-06,0.1172252947293144,0.0114453411351735,0.0194685055522885,0.0014286278937068
"value_norm__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",156.0,0.532635247404145,0.2403562150651044,1.5929845222306207e-05,0.3837842882629809,0.5373077008796551,0.7058480725007243,0.9893375465024242,30.0,0.3963418691261809,0.1826987004138684,0.0371180386272494,0.2418857719362425,0.4014932128311372,0.4825740007828533,0.7743114601007476,65.0,0.6209837666680333,0.2392268192945354,0.0149193296223841,0.5121520172523685,0.6457350739696579,0.811628935766178,0.977359891572029,61.0,0.5055229129153939,0.2314583827695334,1.5929845222306207e-05,0.3647774585290109,0.5097304222866053,0.6526523240737443,0.9893375465024242,1.5499314317311272e-05,4.342570864948936e-06,0.0263530427130294,0.0114453411351735,0.0068456739947954,0.0014286278937068
"value_norm__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",156.0,16.224358974358974,2.296065970583985,6.0,15.0,17.0,18.0,18.0,30.0,16.2,2.4410286130349186,11.0,16.0,17.0,18.0,18.0,65.0,16.307692307692307,1.886821706957538,11.0,15.0,17.0,18.0,18.0,61.0,16.147540983606557,2.632084507089204,6.0,15.0,17.0,18.0,18.0,0.8146695607551295,0.3839368233228544,0.9273116292078902,0.4226534859305109,0.6939897503055772,0.3080458832925147
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,156.0,0.0492227835289585,0.0211353149929359,0.006153837874948,0.0363103823271933,0.0480811018761909,0.0603705369134736,0.1194748027049983,30.0,0.0579170620154807,0.022472203674576,0.0280645628690259,0.0452741661658179,0.0515633215602676,0.0610531945579218,0.1194748027049983,65.0,0.0511558444877587,0.0227205794901268,0.0074467005412782,0.0304555954852038,0.0503010501288024,0.0695303787831375,0.1108554874585645,61.0,0.0428870898089965,0.0166313730833589,0.006153837874948,0.0326023674698746,0.0441837439129635,0.0537175057806202,0.0913514790246651,0.1793945875765498,0.1693427593933497,0.000527436130376,0.0022493076167429,0.0220629947031563,0.0216395948812288
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_3,156.0,0.100384399035852,0.0664518634863677,0.004688059762608,0.0372595191308171,0.10273440105477,0.1401918326566728,0.3298581458126381,30.0,0.0578402226945862,0.0595940898358321,0.0108366259551686,0.0172083458470819,0.0262864538335829,0.0667579646506689,0.2036261565251247,65.0,0.1000454036328622,0.0773190321114814,0.004688059762608,0.0301845946320409,0.0964103741766574,0.1554523569529321,0.3298581458126381,61.0,0.1216689890593325,0.0441427479250675,0.0326808354819318,0.0951640048019384,0.1131779911454455,0.1396321575152024,0.2719479313404054,0.0095587222885378,0.0034445032210477,1.193888227223757e-07,1.0661425379854763e-06,0.0582918139908682,0.0213881719078444
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_5,156.0,0.2026214609581605,0.0556922112172888,0.0314039145180489,0.1752616367613418,0.2137367231574158,0.2356048098630162,0.3342926369615029,30.0,0.224827357584742,0.0451499059620868,0.1107167080278838,0.2092720430398362,0.2287096712279428,0.2555124731961042,0.2999613184816811,65.0,0.2099692337538269,0.0577574114419579,0.0314039145180489,0.1861486297186372,0.221236299520411,0.2425357570094726,0.3342926369615029,61.0,0.183870934228394,0.0529759171486982,0.0338753025232558,0.1695112947588398,0.1985865085994315,0.2177114035603242,0.3083381999165094,0.2168724285761213,0.1574955789467267,0.0004685109125302,0.0001000373826985,0.0094052956652723,0.000779922507165
value_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_6,156.0,0.0657160644360706,0.0495335004146449,0.0135110255936314,0.0280672103425933,0.0491637064541877,0.0988837483091849,0.366556567359144,30.0,0.0971236350835455,0.0483644412711751,0.0255094523354987,0.0553477709115372,0.0995833306044493,0.13194396875038,0.1851268949142301,65.0,0.0715168488071163,0.0580870229518126,0.0135110255936314,0.0268746304920687,0.0557275344662472,0.1068960868723368,0.366556567359144,61.0,0.0440885545419359,0.0245672654945113,0.0176783986617485,0.0268762780672045,0.0346389948418312,0.0518213346711691,0.1229673356618155,0.0384168114514715,0.0025690999756816,5.676371804966543e-10,1.8226269931462019e-07,0.0008712726220445,0.0043778400212384
